Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1557-AB-20220529-Shipboard2 (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390C,U1557,B,1,H,1,A,100.0,0.1,0.1,44766252,SHLF10854431,10,0.16,6,7,10,12,No-Filter,138801,0,3793,50220,215,2185,58745,-1720,34857,33760,15282,762,20754,182123,40203,XRF2,1,2021-11-17,14:54:52,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1000.0,1.0,1.0,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,146522,49,6233,71182,290,1927,49952,-2554,42813,22941,18171,393,23298,205697,39999,XRF2,1,2021-11-17,15:01:00,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1050.0,1.05,1.05,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,159291,44,7768,81567,410,2162,54051,-3757,47256,23139,19640,697,26065,228005,41032,XRF2,1,2021-11-17,15:01:18,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1100.0,1.1,1.1,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,150333,9,6522,73782,313,1684,51015,-2260,42668,31192,17913,476,22146,208761,39256,XRF2,1,2021-11-17,15:01:37,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1150.0,1.15,1.15,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,149921,29,7175,76505,320,1719,48104,-2325,44097,21776,18310,449,25995,212856,39006,XRF2,1,2021-11-17,15:01:55,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1200.0,1.2,1.2,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,147815,73,6303,68583,377,1884,52429,-2750,42159,20808,18143,268,25624,210708,39308,XRF2,1,2021-11-17,15:02:13,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1250.0,1.25,1.25,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,156253,47,6863,76263,378,2090,54280,-3577,45150,23187,19033,673,26496,223864,40995,XRF2,1,2021-11-17,15:02:32,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1300.0,1.3,1.3,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,151578,27,6936,77824,259,1972,49451,-3031,45351,21605,18549,462,25679,218219,39350,XRF2,1,2021-11-17,15:02:50,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1350.0,1.35,1.35,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,153475,65,5993,68563,328,2105,57896,-3477,43276,21740,18418,281,25998,216897,41615,XRF2,1,2021-11-17,15:03:08,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1400.0,1.4,1.4,44766252,SHLF10854431,10,0.16,6,7,10,12,No-Filter,140381,37,6131,68065,174,1801,47000,-2329,40279,27281,17159,702,23523,195339,37557,XRF2,1,2021-11-17,15:03:27,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1450.0,1.45,1.45,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,147535,66,6359,72588,442,1740,47161,-2097,42455,34124,18121,624,25613,205232,37958,XRF2,1,2021-11-17,15:03:45,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,1475.0,1.475,1.475,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,159865,79,6579,76556,284,1927,52880,-3413,45661,47896,18578,673,26495,217073,40885,XRF2,1,2021-11-17,15:04:03,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,150.0,0.15,0.15,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,155197,5,5512,66015,288,2344,62254,-3943,43919,27168,18658,423,24966,215133,41843,XRF2,1,2021-11-17,14:55:10,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,200.0,0.2,0.2,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,154506,35,6280,71905,312,1952,55919,-3324,43895,27022,19082,628,24687,215490,40675,XRF2,1,2021-11-17,14:55:29,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,250.0,0.25,0.25,44766252,SHLF10854431,10,0.16,6,7,10,12,No-Filter,137079,12,4636,56219,159,2010,54552,-2374,34769,31626,15508,401,20808,181205,39189,XRF2,1,2021-11-17,14:55:47,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,300.0,0.3,0.3,44766252,SHLF10854431,10,0.16,6,7,10,12,No-Filter,129235,12,4208,53209,207,1749,45062,295,34407,36968,14930,383,19442,169010,36079,XRF2,1,2021-11-17,14:56:05,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,350.0,0.35,0.35,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,175321,97,7503,81123,450,2140,51717,-4087,44705,146075,17960,1079,22681,197467,40134,XRF2,1,2021-11-17,14:56:24,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,375.0,0.375,0.375,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,197757,35,6418,73962,466,2228,52869,-4437,41268,282628,16395,993,20602,180142,41346,XRF2,1,2021-11-17,14:56:42,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,400.0,0.4,0.4,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,213345,-37,4925,60778,526,2081,53436,-3755,34171,440322,12156,1167,15716,136895,42697,XRF2,1,2021-11-17,14:57:00,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,420.0,0.42,0.42,44766252,SHLF10854431,10,0.16,6,9,10,12,No-Filter,269339,-16,3850,48414,402,2026,53338,-4493,25110,798010,8077,494,9619,82995,44822,XRF2,1,2021-11-17,14:57:19,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,450.0,0.45,0.45,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,151190,32,4875,59711,259,2212,58312,-2763,39111,49360,16882,619,23384,198326,40882,XRF2,1,2021-11-17,14:57:38,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,50.0,0.05,0.05,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,159579,-21,4186,53006,178,1948,53763,-1609,34993,161361,14315,690,18668,168293,39440,XRF2,1,2021-11-17,14:54:34,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,500.0,0.5,0.5,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,158350,-12,5065,61817,476,2333,55163,-2832,39193,98313,16255,883,22724,190281,40933,XRF2,1,2021-11-17,14:57:57,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,550.0,0.55,0.55,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,160724,28,5983,69398,367,2104,54307,-2850,41814,89294,17359,511,23386,201052,39871,XRF2,1,2021-11-17,14:58:15,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,600.0,0.6,0.6,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,171523,37,6662,76769,361,1891,49813,-3098,44738,142686,17934,587,21685,195859,40433,XRF2,1,2021-11-17,14:58:33,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,650.0,0.65,0.65,44766252,SHLF10854431,10,0.16,6,7,10,12,No-Filter,140436,62,4908,59768,242,1519,42648,-656,35710,89867,14499,808,18418,166171,35857,XRF2,1,2021-11-17,14:58:52,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,700.0,0.7,0.7,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,163261,49,7230,81072,336,1851,50260,-3448,46289,85251,18777,415,23346,205143,40207,XRF2,1,2021-11-17,14:59:10,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,750.0,0.75,0.75,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,162775,21,6258,71350,260,2069,56804,-3856,45245,60431,19620,321,24756,219134,42141,XRF2,1,2021-11-17,14:59:28,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,800.0,0.8,0.8,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,144084,31,5841,67953,263,1916,50162,-1914,41201,29261,17176,591,21656,199696,38800,XRF2,1,2021-11-17,14:59:47,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,850.0,0.85,0.85,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,155475,79,7938,86454,393,1605,47275,-3406,49200,23273,19474,705,23623,223949,39000,XRF2,1,2021-11-17,15:00:05,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,900.0,0.9,0.9,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,153180,66,7483,80564,363,1954,50106,-3033,46119,22177,19695,709,24050,218601,39456,XRF2,1,2021-11-17,15:00:23,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,1,A,950.0,0.95,0.95,44766252,SHLF10854431,10,0.16,6,8,10,12,No-Filter,149261,103,7137,77497,363,1801,48764,-2973,45015,21235,19137,534,23726,211658,38767,XRF2,1,2021-11-17,15:00:42,HERTZBERG,2021-11-18 14:42:51,
390C,U1557,B,1,H,2,A,100.0,1.6,1.6,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,147975,51,5353,66056,214,2149,54193,-2669,43169,22886,18662,705,23467,212824,39920,XRF2,1,2021-11-17,14:11:55,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1000.0,2.5,2.5,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,153949,53,7010,79386,358,2143,52682,-3307,45216,23633,19094,354,26647,214808,39439,XRF2,1,2021-11-17,14:17:25,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1050.0,2.55,2.55,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,155638,64,6755,76915,149,2093,54782,-3356,44643,23962,19248,827,26999,219026,39759,XRF2,1,2021-11-17,14:17:43,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1100.0,2.6,2.6,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,156921,64,6767,78141,315,2162,55797,-3266,44456,24199,19257,621,28767,219764,40064,XRF2,1,2021-11-17,14:18:01,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1150.0,2.65,2.65,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,156851,9,6953,79017,301,2089,54066,-3447,44377,24851,18997,812,27342,220794,40748,XRF2,1,2021-11-17,14:18:20,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1200.0,2.7,2.7,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,158341,129,7502,84809,314,2056,51563,-3264,45855,25422,18964,485,28189,224233,39195,XRF2,1,2021-11-17,14:18:38,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1250.0,2.75,2.75,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,158060,70,7086,82250,268,2155,53780,-2916,45391,25455,19239,463,25293,223468,39291,XRF2,1,2021-11-17,14:18:56,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1300.0,2.8,2.8,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,158822,65,7169,82368,358,2108,53653,-3745,45710,25143,19371,708,26439,225291,39225,XRF2,1,2021-11-17,14:19:14,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1330.0,2.83,2.83,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,147288,92,5476,73677,281,2472,59336,-3354,39181,22134,16992,818,12123,200539,40547,XRF2,1,2021-11-17,14:19:33,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1350.0,2.85,2.85,44766262,SHLF10854461,10,0.16,6,7,10,12,No-Filter,122879,-26,1812,42097,11,3250,87223,-3578,17157,12197,8091,-460,10251,101355,44461,XRF2,1,2021-11-17,14:19:51,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1370.0,2.87,2.87,44766262,SHLF10854461,10,0.16,6,7,10,12,No-Filter,111997,-45,1250,48218,93,3446,86483,-3467,11650,8879,4455,-722,2948,61665,44095,XRF2,1,2021-11-17,14:20:09,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1400.0,2.9,2.9,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,148224,-8,4718,62425,203,2696,66695,-3536,36074,21511,16121,258,22632,194769,41600,XRF2,1,2021-11-17,14:20:28,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,1425.0,2.925,2.925,44766262,SHLF10854461,10,0.16,6,7,10,12,No-Filter,124856,-4,2593,58389,53,3191,78245,-3861,19952,13202,8560,-493,12396,103245,42536,XRF2,1,2021-11-17,14:20:46,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,150.0,1.65,1.65,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,149187,39,6035,68978,229,2301,56587,-3178,42505,21262,18496,460,23322,208799,39480,XRF2,1,2021-11-17,14:12:14,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,200.0,1.7,1.7,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,153176,45,7205,78352,322,1998,51019,-3153,45828,23234,19096,708,26445,214179,39895,XRF2,1,2021-11-17,14:12:32,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,250.0,1.75,1.75,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,156377,55,7357,81715,368,1829,50416,-2816,47639,24021,19754,452,27032,222795,39515,XRF2,1,2021-11-17,14:12:50,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,300.0,1.8,1.8,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,156219,18,6377,72897,287,2409,57020,-3676,45296,22787,19570,235,25311,222981,41162,XRF2,1,2021-11-17,14:13:08,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,350.0,1.85,1.85,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,152092,100,7192,79647,316,2129,50977,-2909,45884,23059,18843,726,25103,211839,39400,XRF2,1,2021-11-17,14:13:27,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,400.0,1.9,1.9,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,148967,4,6198,70867,334,1884,52677,-2807,43293,21939,18393,367,23606,212176,39829,XRF2,1,2021-11-17,14:13:45,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,450.0,1.95,1.95,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,150561,69,6363,71104,321,2161,54385,-3554,43559,22647,18928,595,24525,214153,39445,XRF2,1,2021-11-17,14:14:03,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,50.0,1.55,1.55,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,143423,41,5171,60861,227,2107,55200,-2185,39485,29376,16892,407,22788,196445,38791,XRF2,1,2021-11-17,14:11:37,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,500.0,2.0,2.0,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,152501,46,6118,70695,249,2154,55556,-3393,43705,22344,18992,453,25198,217203,40625,XRF2,1,2021-11-17,14:14:22,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,550.0,2.05,2.05,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,156563,20,6953,78240,306,1908,53049,-3343,45615,23660,19618,231,27501,224313,40218,XRF2,1,2021-11-17,14:14:40,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,600.0,2.1,2.1,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,158201,135,7580,82120,345,1835,51635,-3269,46658,24856,19882,625,27021,227427,39515,XRF2,1,2021-11-17,14:14:58,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,650.0,2.15,2.15,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,158663,32,7377,83330,297,1907,51416,-3584,46983,25577,19551,566,26260,229277,39660,XRF2,1,2021-11-17,14:15:17,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,700.0,2.2,2.2,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,156203,69,7253,81826,257,1903,52784,-3391,45574,25453,19506,201,21930,220764,39899,XRF2,1,2021-11-17,14:15:35,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,750.0,2.25,2.25,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,156541,36,7263,83218,291,1942,50693,-3334,46330,25243,19633,652,21940,226686,38599,XRF2,1,2021-11-17,14:15:53,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,800.0,2.3,2.3,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,158371,52,7912,88046,359,2037,48229,-3675,48566,26430,20573,611,21774,228787,39543,XRF2,1,2021-11-17,14:16:11,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,850.0,2.35,2.35,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,157217,59,7749,85675,347,1891,50431,-3642,47519,25868,19914,675,24415,223949,39281,XRF2,1,2021-11-17,14:16:30,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,900.0,2.4,2.4,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,153763,54,7003,78277,337,2276,53716,-3575,45812,23811,18729,387,24728,213535,39890,XRF2,1,2021-11-17,14:16:48,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,2,A,950.0,2.45,2.45,44766262,SHLF10854461,10,0.16,6,8,10,12,No-Filter,153982,74,6980,80141,246,2071,51218,-3392,45626,23586,19197,541,26048,216371,39226,XRF2,1,2021-11-17,14:17:06,HERTZBERG,2021-11-18 14:42:54,
390C,U1557,B,1,H,3,A,100.0,3.0900000000000003,3.0900000000000003,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,150899,36,5876,77578,318,2123,56165,-3668,42507,24278,17364,523,23850,204330,40116,XRF2,1,2021-11-17,13:28:41,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,150.0,3.14,3.14,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,141063,18,3736,61355,239,3024,73191,-3664,30049,17803,13183,417,19160,167129,42705,XRF2,1,2021-11-17,13:28:59,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,200.0,3.1900000000000004,3.1900000000000004,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,157427,38,7422,84286,315,2146,52168,-3739,46867,24578,19400,315,24067,220698,40631,XRF2,1,2021-11-17,13:29:18,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,250.0,3.24,3.24,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,157553,103,7161,83371,299,2040,53473,-3499,47343,24960,20230,552,20323,225195,40245,XRF2,1,2021-11-17,13:29:36,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,300.0,3.29,3.29,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,158913,35,7465,84561,435,2015,52030,-3490,48283,24912,20057,525,26976,226372,40258,XRF2,1,2021-11-17,13:29:54,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,350.0,3.3400000000000003,3.3400000000000003,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,155727,28,7230,82129,345,2062,52536,-3328,45399,22652,19146,692,27131,217535,39829,XRF2,1,2021-11-17,13:30:12,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,400.0,3.39,3.39,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,154710,59,7129,83015,347,2044,50294,-3107,46203,23027,19282,409,27302,218902,39147,XRF2,1,2021-11-17,13:30:31,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,450.0,3.4400000000000004,3.4400000000000004,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,150943,22,6374,75667,333,2199,52928,-3059,44063,22159,18584,469,20715,218095,38829,XRF2,1,2021-11-17,13:30:49,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,50.0,3.04,3.04,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,144448,38,5524,72257,231,1913,53991,-2840,39862,24641,16838,571,21630,190094,40026,XRF2,1,2021-11-17,13:28:23,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,500.0,3.49,3.49,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,152996,111,6857,79854,355,1942,51420,-3035,44326,22463,18299,540,26391,218633,39554,XRF2,1,2021-11-17,13:31:07,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,550.0,3.54,3.54,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,153519,50,6539,77000,291,2032,54792,-2817,43418,22777,17921,566,26186,217327,39609,XRF2,1,2021-11-17,13:31:26,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,600.0,3.5900000000000003,3.5900000000000003,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,156227,69,6954,81784,273,1808,52941,-3401,42640,40269,17518,561,25311,206861,40256,XRF2,1,2021-11-17,13:31:44,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,650.0,3.64,3.64,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,159815,29,6022,76323,298,2397,56348,-3350,40919,78129,16317,501,23900,194583,40283,XRF2,1,2021-11-17,13:32:02,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,700.0,3.6900000000000004,3.6900000000000004,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,161407,56,6738,80085,380,1937,51661,-2912,41617,111340,16244,755,21082,182566,38643,XRF2,1,2021-11-17,13:32:20,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,750.0,3.74,3.74,44766272,SHLF10854491,10,0.16,6,8,10,12,No-Filter,158235,5,5749,72519,318,2024,51173,-2284,37963,138671,14964,924,16419,164300,38227,XRF2,1,2021-11-17,13:32:39,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,800.0,3.79,3.79,44766272,SHLF10854491,10,0.16,6,7,10,12,No-Filter,135602,-11,4031,70112,123,1946,50185,-1472,30762,79535,12286,646,7013,138928,37998,XRF2,1,2021-11-17,13:32:57,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,825.0,3.8150000000000004,3.8150000000000004,44766272,SHLF10854491,10,0.16,6,7,10,12,No-Filter,107781,-67,1191,97530,93,2201,60755,-1496,8439,13453,2682,-400,14787,45340,38930,XRF2,1,2021-11-17,13:33:15,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,850.0,3.8400000000000003,3.8400000000000003,44766272,SHLF10854491,10,0.16,6,7,10,12,No-Filter,104336,-45,1260,79140,113,1918,54884,-737,10832,23902,4326,-247,10755,64507,35306,XRF2,1,2021-11-17,13:33:34,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,1,H,3,A,870.0,3.8600000000000003,3.8600000000000003,44766272,SHLF10854491,10,0.16,6,7,10,12,No-Filter,108536,-42,1047,87774,127,2185,59210,-1362,8205,13229,3192,-170,35348,46998,37817,XRF2,1,2021-11-17,13:33:52,HERTZBERG,2021-11-18 14:42:55,
390C,U1557,B,10,H,1,A,100.0,80.19999999999999,84.66,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,311061,-11,3737,45823,688,961,35626,-2024,28244,1061239,6112,387,7384,64172,42685,XRF2,1,2021-10-20,11:31:41,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1000.0,81.1,85.56,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,325670,-44,3729,44577,748,1119,41832,-3689,29324,1110434,6616,396,7769,68247,43850,XRF2,1,2021-10-20,11:38:12,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1050.0,81.14999999999999,85.61,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,328343,1,4234,47481,788,1035,38712,-3449,29828,1124123,6245,704,7588,67703,43103,XRF2,1,2021-10-20,11:38:34,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1100.0,81.19999999999999,85.66,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,335032,-4,4582,51425,860,841,34737,-3451,30588,1152347,6574,316,8257,68271,43405,XRF2,1,2021-10-20,11:38:56,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1150.0,81.25,85.71000000000001,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,332619,26,4466,49192,749,1054,37239,-3182,30608,1140388,6478,688,7942,67717,43950,XRF2,1,2021-10-20,11:39:18,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1200.0,81.3,85.76,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,330113,-45,4201,49088,810,883,35604,-2661,30647,1134106,6408,599,8388,68173,43052,XRF2,1,2021-10-20,11:39:40,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1250.0,81.35,85.81,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,326188,-54,4330,47976,883,934,35187,-2834,29792,1120325,6283,458,8056,67536,42495,XRF2,1,2021-10-20,11:40:01,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1300.0,81.39999999999999,85.86,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,323586,8,4559,50680,709,629,32030,-2856,30004,1115986,6456,504,8196,66734,41382,XRF2,1,2021-10-20,11:40:23,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1350.0,81.44999999999999,85.91,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,319066,-20,4141,47501,702,881,33481,-2775,29369,1099045,6620,467,8181,65036,41698,XRF2,1,2021-10-20,11:40:45,HERTZBERG,2021-10-26 21:35:32,
390C,U1557,B,10,H,1,A,1400.0,81.5,85.96000000000001,44763342,SHLF10857341,10,0.16,6,10,10,12,No-Filter,314491,73,4130,47398,661,883,31400,-3040,28994,1083634,6150,422,8517,65326,41664,XRF2,1,2021-10-20,11:41:06,HERTZBERG,2021-10-26 21:35:32,
