Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1559-ACD-20220529-Shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Ca-Ka Area,Fe-Ka Area,Ni-Ka Area,As-Ka Area,Br-Ka Area,Rb-Ka Area,Sr-Ka Area,Y -Ka Area,Zr-Ka Area,Nb-Ka Area,Mo-Ka Area,Ag-Ka Area,Ba-Ka Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390,U1559,C,2,H,4,A,950.0,9.77,12.128,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,85965,8678,479,3653,73,230,67,9093,51,357,36,55,437800,784,XRF2,1,2022-09-13,09:49:23,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1000.0,9.82,12.178,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,86459,8899,530,3705,28,230,78,9187,69,364,21,47,440114,846,XRF2,1,2022-09-13,09:49:46,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1050.0,9.870000000000001,12.228000000000002,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,86892,8669,556,3658,86,235,104,9278,49,322,33,86,439497,1140,XRF2,1,2022-09-13,09:50:09,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1100.0,9.92,12.278,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,87308,7334,467,3643,59,184,101,9236,121,360,19,45,440890,1185,XRF2,1,2022-09-13,09:50:32,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1150.0,9.97,12.328000000000001,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,87752,8916,501,3687,36,290,37,9644,75,254,35,87,441143,1114,XRF2,1,2022-09-13,09:50:55,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1200.0,10.02,12.378,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,88469,9623,495,3605,59,226,73,9645,71,333,33,45,444441,1193,XRF2,1,2022-09-13,09:51:18,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1250.0,10.07,12.428,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,87329,8231,569,3636,53,204,87,9467,43,366,19,59,442625,977,XRF2,1,2022-09-13,09:51:41,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1300.0,10.120000000000001,12.478000000000002,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,87622,5491,451,3665,56,240,61,9355,53,440,47,79,439858,1266,XRF2,1,2022-09-13,09:52:05,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1350.0,10.17,12.528,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,87805,5955,415,3608,72,251,80,9364,56,365,57,47,441531,1272,XRF2,1,2022-09-13,09:52:28,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1400.0,10.22,12.578000000000001,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,87896,5502,539,3603,32,253,47,9383,52,365,83,92,443507,1027,XRF2,1,2022-09-13,09:52:51,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1450.0,10.27,12.628,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,88166,5745,561,3662,67,225,54,9393,47,356,38,77,446234,967,XRF2,1,2022-09-13,09:53:14,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,4,A,1500.0,10.32,12.678,44838712,SHLF11582891,50,0.75,10,14,10,12,Cu,84246,6087,383,3442,45,183,58,7118,66,299,23,78,450609,867,XRF2,1,2022-09-13,09:53:37,YEON,2022-09-26 21:13:03,
390,U1559,C,2,H,5,A,50.0,10.38,12.738000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86707,10263,648,3617,59,190,89,9153,89,380,40,18,437705,1218,XRF2,1,2022-09-13,10:26:59,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,100.0,10.43,12.788,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86192,8561,529,3581,70,204,111,9339,61,312,35,16,436752,1146,XRF2,1,2022-09-13,10:27:22,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,150.0,10.48,12.838000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86576,9712,619,3539,37,169,99,9262,36,414,13,50,435175,1474,XRF2,1,2022-09-13,10:27:45,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,200.0,10.53,12.888,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86690,10677,658,3493,69,181,39,9034,39,373,18,20,437895,1331,XRF2,1,2022-09-13,10:28:08,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,250.0,10.58,12.938,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,87793,12016,843,3756,77,205,94,9503,40,375,67,28,439129,1487,XRF2,1,2022-09-13,10:28:31,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,300.0,10.63,12.988000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86244,11198,823,3383,42,197,73,8891,46,347,55,67,439904,1095,XRF2,1,2022-09-13,10:28:54,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,350.0,10.68,13.038,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86663,10653,687,3483,41,202,110,9088,77,347,50,64,440407,1291,XRF2,1,2022-09-13,10:29:17,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,400.0,10.73,13.088000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86224,10316,624,3466,61,224,90,9137,45,306,36,40,439628,1287,XRF2,1,2022-09-13,10:29:41,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,450.0,10.78,13.138,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,87090,9868,701,3634,61,167,62,9156,47,381,69,67,439824,1332,XRF2,1,2022-09-13,10:30:04,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,500.0,10.83,13.188,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86948,9390,708,3530,45,186,90,9201,59,409,39,41,439228,1322,XRF2,1,2022-09-13,10:30:27,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,550.0,10.88,13.238000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86323,10459,653,3475,65,148,122,9017,106,304,23,35,438709,1242,XRF2,1,2022-09-13,10:30:50,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,600.0,10.93,13.288,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86668,10475,694,3633,46,177,133,8994,53,351,38,43,439649,1294,XRF2,1,2022-09-13,10:31:13,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,650.0,10.98,13.338000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86597,10268,707,3703,59,178,138,9104,53,303,16,54,439233,1670,XRF2,1,2022-09-13,10:31:36,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,700.0,11.03,13.388,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86225,10131,771,3602,44,236,74,8801,78,421,31,3,440116,1560,XRF2,1,2022-09-13,10:31:59,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,750.0,11.08,13.438,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86692,10848,724,3505,35,160,68,8908,69,324,28,52,440738,1491,XRF2,1,2022-09-13,10:32:22,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,800.0,11.13,13.488000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86353,9828,652,3515,82,165,51,8929,58,332,70,123,440584,1422,XRF2,1,2022-09-13,10:32:45,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,850.0,11.18,13.538,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86063,9062,722,3622,40,190,127,8604,92,320,49,57,440264,1536,XRF2,1,2022-09-13,10:33:09,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,900.0,11.23,13.588000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86175,8970,772,3555,53,233,72,8763,41,370,55,34,439002,1348,XRF2,1,2022-09-13,10:33:32,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,950.0,11.28,13.638,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86169,9173,616,3477,100,214,61,8625,76,309,21,44,438767,1405,XRF2,1,2022-09-13,10:33:55,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1000.0,11.33,13.688,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86640,9799,565,3415,40,212,106,8855,75,371,36,41,439439,1410,XRF2,1,2022-09-13,10:34:18,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1050.0,11.38,13.738000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86429,9874,525,3610,50,178,114,9629,53,359,60,57,439448,2028,XRF2,1,2022-09-13,10:34:41,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1100.0,11.43,13.788,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86937,7584,513,3535,82,229,82,10027,40,436,23,39,440146,1612,XRF2,1,2022-09-13,10:35:04,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1170.0,11.5,13.858,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,86773,9209,482,3511,27,201,94,10091,107,286,44,64,441879,1842,XRF2,1,2022-09-13,10:35:29,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1200.0,11.53,13.888,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,87406,10939,554,3622,37,168,115,10400,95,393,30,38,439623,2172,XRF2,1,2022-09-13,10:35:52,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1250.0,11.58,13.938,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,87842,7764,647,3598,68,216,120,10296,7,392,74,50,440061,2068,XRF2,1,2022-09-13,10:36:15,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1300.0,11.63,13.988000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,87523,5627,511,3677,47,257,107,10407,62,343,21,84,440044,2454,XRF2,1,2022-09-13,10:36:38,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1350.0,11.68,14.038,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,88640,7131,682,3611,52,283,73,10618,103,437,51,30,440752,2418,XRF2,1,2022-09-13,10:37:02,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1400.0,11.73,14.088000000000001,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,89051,7612,527,3697,23,189,99,10911,104,466,31,88,441605,2509,XRF2,1,2022-09-13,10:37:25,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1450.0,11.78,14.138,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,89400,5511,570,3819,35,250,109,10817,103,352,62,52,445304,2630,XRF2,1,2022-09-13,10:37:50,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,5,A,1500.0,11.83,14.188,44838722,SHLF11582921,50,0.75,10,14,10,12,Cu,83637,6042,496,3331,54,191,69,7554,33,295,35,65,451037,1636,XRF2,1,2022-09-13,10:38:13,YEON,2022-09-26 21:13:06,
390,U1559,C,2,H,6,A,50.0,11.88,14.238000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87364,5985,646,3556,70,257,77,10596,60,291,24,57,438738,2571,XRF2,1,2022-09-13,11:33:43,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,100.0,11.93,14.288,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87068,7339,750,3634,28,257,34,10787,99,294,39,45,435582,2705,XRF2,1,2022-09-13,11:34:06,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,150.0,11.98,14.338000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87430,6662,607,3640,42,315,122,10554,81,429,24,34,435667,2813,XRF2,1,2022-09-13,11:34:29,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,200.0,12.03,14.388,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,86636,6881,616,3651,69,247,101,10300,122,334,43,54,438324,2740,XRF2,1,2022-09-13,11:34:52,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,235.0,12.065,14.423,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,85582,8985,726,3518,39,189,91,10024,56,306,19,77,438225,2576,XRF2,1,2022-09-13,11:35:16,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,300.0,12.13,14.488000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,85893,8651,862,3507,52,161,89,9989,119,469,47,34,438383,2769,XRF2,1,2022-09-13,11:35:40,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,350.0,12.18,14.538,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,86069,8698,706,3500,33,193,103,10127,56,343,59,182,438438,3082,XRF2,1,2022-09-13,11:36:03,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,400.0,12.23,14.588000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,86792,8172,906,3581,47,183,134,10469,30,374,44,67,438696,3041,XRF2,1,2022-09-13,11:36:27,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,450.0,12.28,14.638,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87237,6532,749,3722,46,237,91,10281,72,419,49,55,440100,3262,XRF2,1,2022-09-13,11:36:50,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,500.0,12.33,14.688,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87221,6861,802,3602,76,212,111,10165,106,371,29,37,438554,3150,XRF2,1,2022-09-13,11:37:13,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,550.0,12.38,14.738000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87193,7355,867,3655,78,239,94,10294,55,430,34,35,437898,3228,XRF2,1,2022-09-13,11:37:36,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,600.0,12.43,14.788,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87711,7914,872,3847,39,208,45,10580,91,350,56,29,438819,3060,XRF2,1,2022-09-13,11:37:59,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,650.0,12.48,14.838000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87855,8053,805,3610,27,272,67,10554,117,479,23,38,439465,3473,XRF2,1,2022-09-13,11:38:23,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,700.0,12.53,14.888,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87382,8116,830,3497,26,255,122,10376,100,390,6,40,439031,3463,XRF2,1,2022-09-13,11:38:46,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,750.0,12.58,14.938,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87513,7927,761,3523,82,234,68,10237,104,376,64,53,440443,2756,XRF2,1,2022-09-13,11:39:09,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,800.0,12.63,14.988000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87930,7817,910,3702,88,207,95,10358,127,430,34,40,439956,3352,XRF2,1,2022-09-13,11:39:32,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,850.0,12.68,15.038,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87977,7129,786,3535,46,257,58,10447,105,356,52,4,439380,3429,XRF2,1,2022-09-13,11:39:55,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,900.0,12.73,15.088000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88057,8166,830,3767,94,208,102,10354,57,441,37,48,440259,3464,XRF2,1,2022-09-13,11:40:19,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,950.0,12.78,15.138,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87510,9337,1012,3555,49,210,147,10147,58,421,66,35,440262,3585,XRF2,1,2022-09-13,11:40:42,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1000.0,12.83,15.188,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87671,9471,833,3557,45,216,137,10543,82,421,64,70,441027,3244,XRF2,1,2022-09-13,11:41:05,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1050.0,12.88,15.238000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88468,9506,803,3743,61,182,87,10574,111,378,31,33,441758,3101,XRF2,1,2022-09-13,11:41:28,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1100.0,12.93,15.288,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88888,10553,773,3659,49,201,101,11143,48,343,57,49,441129,2863,XRF2,1,2022-09-13,11:41:51,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1150.0,12.98,15.338000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88650,9711,758,3661,55,243,87,10607,129,316,26,76,440753,3491,XRF2,1,2022-09-13,11:42:15,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1200.0,13.03,15.388,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88841,9484,800,3767,91,246,121,10590,55,396,64,18,442128,3528,XRF2,1,2022-09-13,11:42:38,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1250.0,13.08,15.438,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88993,8553,903,3650,43,276,80,10458,71,372,35,94,442857,3197,XRF2,1,2022-09-13,11:43:01,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1300.0,13.13,15.488000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88176,6886,780,3747,74,244,44,10351,117,406,35,60,442768,2615,XRF2,1,2022-09-13,11:43:24,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1350.0,13.18,15.538,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87865,6305,708,3720,36,257,128,10092,22,386,25,26,443560,2380,XRF2,1,2022-09-13,11:43:48,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1400.0,13.23,15.588000000000001,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,87874,6874,628,3483,40,239,124,10331,114,279,38,28,445070,1945,XRF2,1,2022-09-13,11:44:11,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1450.0,13.28,15.638,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,88567,8396,527,3689,55,206,93,10347,106,359,34,59,449350,1745,XRF2,1,2022-09-13,11:44:36,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,6,A,1500.0,13.33,15.688,44838732,SHLF11582951,50,0.75,10,14,10,12,Cu,81040,5643,438,3249,47,172,70,5919,50,231,23,28,448863,1155,XRF2,1,2022-09-13,11:44:59,YEON,2022-09-26 21:13:08,
390,U1559,C,2,H,7,A,50.0,13.39,15.748000000000001,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,85789,7907,658,3557,31,230,71,9630,86,449,80,45,438214,1710,XRF2,1,2022-09-13,12:05:47,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,100.0,13.44,15.798,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,86632,8675,617,3584,67,198,65,10255,34,395,35,81,436106,1729,XRF2,1,2022-09-13,12:06:10,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,150.0,13.49,15.848,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,87010,8407,667,3715,50,176,79,10459,26,375,44,29,438008,1615,XRF2,1,2022-09-13,12:06:33,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,200.0,13.54,15.898,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,87191,8577,622,3608,52,174,73,10384,44,385,61,55,439544,1546,XRF2,1,2022-09-13,12:06:56,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,250.0,13.59,15.948,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,86976,9484,663,3530,44,195,44,10420,65,265,31,73,438345,1564,XRF2,1,2022-09-13,12:07:20,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,300.0,13.64,15.998000000000001,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,87117,8868,659,3498,41,162,76,10534,73,372,34,54,438269,1634,XRF2,1,2022-09-13,12:07:43,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,350.0,13.69,16.048000000000002,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,87261,9298,607,3550,53,180,48,10453,135,295,41,34,439160,1539,XRF2,1,2022-09-13,12:08:06,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,400.0,13.74,16.098,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,87457,9771,665,3578,51,232,114,10222,74,378,21,69,440661,1622,XRF2,1,2022-09-13,12:08:29,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,450.0,13.79,16.148,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,86751,9101,617,3644,49,225,137,10453,34,344,26,47,439179,1752,XRF2,1,2022-09-13,12:08:52,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,500.0,13.84,16.198,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,87262,8917,620,3665,80,244,103,10739,34,316,44,68,436894,1448,XRF2,1,2022-09-13,12:09:16,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,550.0,13.89,16.248,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,87226,7561,681,3694,54,188,70,10657,78,346,10,47,437896,1652,XRF2,1,2022-09-13,12:09:39,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,600.0,13.94,16.298000000000002,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,86987,8511,632,3541,52,167,111,10239,68,300,39,54,441022,1742,XRF2,1,2022-09-13,12:10:02,YEON,2022-09-26 21:13:09,
390,U1559,C,2,H,7,A,630.0,13.97,16.328,44838742,SHLF11582981,50,0.75,10,14,10,12,Cu,85705,8446,622,3619,99,206,35,9355,145,350,16,56,443607,1495,XRF2,1,2022-09-13,12:10:25,YEON,2022-09-26 21:13:09,
390C,U1559,A,3,H,1,A,50.0,13.05,16.782,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86543,9232,385,3615,52,171,93,9378,67,264,25,71,439742,1318,XRF2,1,2022-09-13,12:40:01,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,100.0,13.1,16.832,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,85839,7065,466,3422,70,271,67,9387,23,246,22,78,437658,1521,XRF2,1,2022-09-13,12:40:24,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,150.0,13.15,16.881999999999998,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86118,7138,418,3447,35,170,97,9299,38,332,36,93,438875,1392,XRF2,1,2022-09-13,12:40:47,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,200.0,13.2,16.932,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86615,9908,369,3591,58,244,87,9811,31,458,48,58,439001,1177,XRF2,1,2022-09-13,12:41:11,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,250.0,13.25,16.982,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86541,10747,539,3438,38,153,91,9711,4,338,59,66,437538,1662,XRF2,1,2022-09-13,12:41:34,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,300.0,13.3,17.032,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,87002,11726,348,3470,43,192,114,9864,49,353,60,80,438476,1460,XRF2,1,2022-09-13,12:41:57,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,350.0,13.35,17.082,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86706,11317,440,3610,34,267,53,9660,41,261,40,29,438759,1457,XRF2,1,2022-09-13,12:42:21,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,400.0,13.4,17.131999999999998,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86323,10808,329,3624,54,183,65,9499,70,367,61,60,437622,1575,XRF2,1,2022-09-13,12:42:44,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,450.0,13.45,17.182,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86304,8710,403,3517,74,199,94,9527,75,443,69,48,437740,1080,XRF2,1,2022-09-13,12:43:07,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,500.0,13.5,17.232,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86333,8699,408,3570,29,238,40,9517,38,362,23,60,437213,1296,XRF2,1,2022-09-13,12:43:30,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,550.0,13.55,17.282,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86209,9836,602,3607,32,185,91,9359,71,268,60,23,438545,1137,XRF2,1,2022-09-13,12:43:54,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,600.0,13.6,17.332,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,87114,10189,400,3578,63,170,74,9749,51,345,37,51,438534,1316,XRF2,1,2022-09-13,12:44:17,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,650.0,13.65,17.381999999999998,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86643,10891,482,3517,44,147,132,9635,86,295,78,48,436273,1158,XRF2,1,2022-09-13,12:44:40,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,700.0,13.7,17.432,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86808,10798,356,3623,27,184,124,9668,37,257,33,61,438433,1508,XRF2,1,2022-09-13,12:45:03,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,750.0,13.75,17.482,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86849,10228,516,3680,53,216,64,9470,48,279,63,55,440991,1603,XRF2,1,2022-09-13,12:45:27,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,800.0,13.8,17.532,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,87185,8836,418,3657,50,169,94,9388,37,457,32,26,441163,1554,XRF2,1,2022-09-13,12:45:50,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,850.0,13.85,17.582,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,87076,8805,330,3543,31,147,62,9887,92,311,65,44,439246,1683,XRF2,1,2022-09-13,12:46:13,YEON,2022-09-26 21:12:09,
390C,U1559,A,3,H,1,A,900.0,13.9,17.631999999999998,44838482,SHLF10887291,50,0.75,10,14,10,12,Cu,86962,8208,430,3620,110,188,72,9728,72,365,22,21,440163,1452,XRF2,1,2022-09-13,12:46:37,YEON,2022-09-26 21:12:09,
