Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CCSF-390-U1559-ACD-20220529-Shipboard (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,Mg-Ka Area,Al-Ka Area,Si-Ka Area,P -Ka Area,S -Ka Area,Cl-Ka Area,Ar-Ka Area,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Cr-Ka Area,Mn-Ka Area,Fe-Ka Area,Rh-La-Coh Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
390C,U1559,A,1,H,1,A,50.0,0.05,0.05,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,275076,-45,721,18162,398,2767,69015,-1396,1671,945277,1425,664,2653,14075,49670,XRF2,1,2022-09-12,09:35:30,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,100.0,0.1,0.1,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,271056,-59,786,18937,667,2566,63661,-2122,2245,938114,1491,391,2806,15562,48356,XRF2,1,2022-09-12,09:35:51,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,150.0,0.15,0.15,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,271386,-33,706,18995,350,3058,78694,-3373,2650,894301,1889,478,2761,17291,52766,XRF2,1,2022-09-12,09:36:13,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,200.0,0.2,0.2,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,302636,-57,1139,23444,673,2631,64389,-3337,5069,1047676,2565,499,3527,24220,52230,XRF2,1,2022-09-12,09:36:34,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,250.0,0.25,0.25,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,292944,2,1365,26788,390,2744,63931,-3423,7555,989583,3460,556,3938,31637,50753,XRF2,1,2022-09-12,09:36:57,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,300.0,0.3,0.3,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,306806,-50,1589,30128,693,2997,60304,-3373,8598,1046711,3703,837,4479,34483,51427,XRF2,1,2022-09-12,09:37:18,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,350.0,0.35,0.35,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,303082,-79,1453,28357,555,2485,55883,-2640,6857,1052893,3018,461,3003,29862,50531,XRF2,1,2022-09-12,09:37:41,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,400.0,0.4,0.4,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,283718,-40,987,22857,534,2639,62439,-2439,4544,976113,2338,427,3361,22046,49477,XRF2,1,2022-09-12,09:38:04,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,450.0,0.45,0.45,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,296325,-63,919,21419,575,2754,65214,-3030,3881,1030475,2136,447,3143,20797,51420,XRF2,1,2022-09-12,09:38:26,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,500.0,0.5,0.5,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,300132,-52,874,21135,570,2661,66761,-3097,3709,1045636,1913,439,3219,18856,51697,XRF2,1,2022-09-12,09:38:48,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,550.0,0.55,0.55,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,297956,-76,939,20740,503,2549,66630,-3074,3354,1037779,2340,992,2784,19245,52147,XRF2,1,2022-09-12,09:39:11,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,600.0,0.6,0.6,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,283492,-59,866,20679,408,2651,64369,-2925,3215,981001,1813,411,2749,17562,51219,XRF2,1,2022-09-12,09:39:34,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,650.0,0.65,0.65,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,307605,28,1190,23086,496,2443,57606,-2598,4051,1093813,2248,937,3124,20468,50762,XRF2,1,2022-09-12,09:39:56,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,700.0,0.7,0.7,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,309852,-60,1113,24144,638,2391,56562,-2407,4852,1101103,2510,510,3395,22538,49568,XRF2,1,2022-09-12,09:40:18,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,750.0,0.75,0.75,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,308285,-37,1169,25458,543,2471,62380,-3115,5890,1069569,2562,564,4187,27184,52124,XRF2,1,2022-09-12,09:40:42,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,800.0,0.8,0.8,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,315451,-21,1139,22882,747,2918,66035,-3057,4408,1109299,2310,606,2527,21871,51882,XRF2,1,2022-09-12,09:41:05,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,850.0,0.85,0.85,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,292887,-36,746,19775,501,3239,75740,-3582,3267,989582,1763,750,2823,18826,51671,XRF2,1,2022-09-12,09:41:28,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,900.0,0.9,0.9,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,266658,-67,621,18341,285,3113,81872,-2977,2774,872054,1572,369,2609,16512,53283,XRF2,1,2022-09-12,09:41:50,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,950.0,0.95,0.95,44837372,SHLF10886711,10,0.15,6,11,10,12,No-Filter,253408,-37,728,18213,340,2904,77348,-1791,1927,825471,1211,626,2416,16103,51081,XRF2,1,2022-09-12,09:42:11,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1000.0,1.0,1.0,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,281861,-54,830,19842,559,2580,62929,-2641,2189,978808,1482,382,2719,17048,50038,XRF2,1,2022-09-12,09:42:32,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1050.0,1.05,1.05,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,272461,-57,742,18999,423,2799,70354,-1844,2116,924622,1683,315,2544,16391,49939,XRF2,1,2022-09-12,09:42:53,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1100.0,1.1,1.1,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,279093,-26,802,19429,557,2475,62123,-1403,2556,970374,1812,786,3072,17292,50110,XRF2,1,2022-09-12,09:43:15,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1150.0,1.15,1.15,44837372,SHLF10886711,10,0.15,6,13,10,12,No-Filter,316020,-18,919,20665,640,2781,69041,-3727,2799,1113987,1608,617,3360,19992,52920,XRF2,1,2022-09-12,09:43:37,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1200.0,1.2,1.2,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,296483,34,787,19542,515,2507,64005,-2520,2536,1040883,1423,586,2029,20490,52034,XRF2,1,2022-09-12,09:44:00,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1250.0,1.25,1.25,44837372,SHLF10886711,10,0.15,6,11,10,12,No-Filter,257675,-68,648,18161,499,2834,75156,-2125,2498,845449,1550,471,2802,19578,50486,XRF2,1,2022-09-12,09:44:23,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1300.0,1.3,1.3,44837372,SHLF10886711,10,0.15,6,11,10,12,No-Filter,244298,-62,630,18296,392,2889,74427,-1919,2566,785549,1511,859,2675,17953,49758,XRF2,1,2022-09-12,09:44:44,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1350.0,1.35,1.35,44837372,SHLF10886711,10,0.15,6,11,10,12,No-Filter,254588,-36,752,19496,409,3162,83001,-3246,3605,807591,1871,640,1805,19711,52267,XRF2,1,2022-09-12,09:45:05,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1400.0,1.4,1.4,44837372,SHLF10886711,10,0.15,6,12,10,12,No-Filter,272651,-57,1015,22859,390,2477,64631,-2017,5099,917579,2447,700,3216,24243,50296,XRF2,1,2022-09-12,09:45:25,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,1,A,1450.0,1.45,1.45,44837372,SHLF10886711,10,0.15,6,11,10,12,No-Filter,259287,-10,1139,23827,354,2753,67246,-2509,5991,842908,2726,321,3416,27872,48838,XRF2,1,2022-09-12,09:45:47,YEON,2022-09-26 21:00:25,
390C,U1559,A,1,H,2,A,50.0,1.55,1.55,44837382,SHLF10886741,10,0.15,6,11,10,12,No-Filter,243166,-20,699,19648,285,4059,100700,-4213,4939,702968,2025,627,3172,24900,53109,XRF2,1,2022-09-12,10:18:48,YEON,2022-09-26 21:00:26,
390C,U1559,A,1,H,2,A,100.0,1.6,1.6,44837382,SHLF10886741,10,0.15,6,11,10,12,No-Filter,245528,-57,768,19368,493,3954,100078,-4568,4621,714989,2044,743,3585,24966,54515,XRF2,1,2022-09-12,10:19:09,YEON,2022-09-26 21:00:26,
390C,U1559,A,1,H,2,A,150.0,1.65,1.65,44837382,SHLF10886741,10,0.15,6,11,10,12,No-Filter,251170,5,776,19369,234,3900,100434,-4975,4543,740637,2135,594,3093,25717,54231,XRF2,1,2022-09-12,10:19:30,YEON,2022-09-26 21:00:26,
390,U1559,D,1,H,2,A,350.0,1.85,1.705,44837322,SHLF11585351,10,0.15,6,11,10,12,No-Filter,250575,-56,795,20540,301,3602,91230,-4222,5108,752060,2016,599,3325,25370,53844,XRF2,1,2022-09-12,10:49:19,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,400.0,1.9,1.755,44837322,SHLF11585351,10,0.15,6,11,10,12,No-Filter,241629,-10,724,19996,456,3801,93798,-3838,4429,708489,2044,415,3135,23608,52697,XRF2,1,2022-09-12,10:49:39,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,450.0,1.95,1.805,44837322,SHLF11585351,10,0.15,6,12,10,12,No-Filter,264470,-31,778,19763,272,2961,89516,-3525,4393,822941,1962,354,3588,26572,53443,XRF2,1,2022-09-12,10:50:00,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,500.0,2.0,1.855,44837322,SHLF11585351,10,0.15,6,11,10,12,No-Filter,245993,-45,603,18033,265,3754,99257,-4221,3601,720769,2162,704,3465,25636,54848,XRF2,1,2022-09-12,10:50:22,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,550.0,2.05,1.905,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,298298,39,809,19648,555,3488,85070,-4274,3154,990574,1990,966,3407,24919,54317,XRF2,1,2022-09-12,10:50:42,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,600.0,2.1,1.955,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,299781,-54,643,18163,524,3512,86498,-3736,2235,999873,1312,563,2628,21514,56082,XRF2,1,2022-09-12,10:51:05,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,650.0,2.15,2.005,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,302463,-39,614,18069,499,3470,86398,-3994,2033,1016598,1349,662,2489,20673,56279,XRF2,1,2022-09-12,10:51:28,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,700.0,2.2,2.0549999999999997,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,305698,-45,721,18400,446,3154,83738,-4498,2335,1035996,1438,574,2442,21463,55662,XRF2,1,2022-09-12,10:51:52,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,750.0,2.25,2.105,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,306140,5,806,19067,501,3384,83649,-4335,2858,1037364,1747,724,2327,21392,54965,XRF2,1,2022-09-12,10:52:14,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,800.0,2.3,2.1550000000000002,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,308388,-62,787,19430,512,3184,82586,-3884,2792,1044883,1674,478,2124,22816,55908,XRF2,1,2022-09-12,10:52:37,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,850.0,2.35,2.205,44837322,SHLF11585351,10,0.15,6,12,10,12,No-Filter,295732,-57,697,19450,440,3352,85712,-4214,3190,980045,1681,468,2872,23520,54117,XRF2,1,2022-09-12,10:53:01,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,900.0,2.4,2.255,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,298973,-28,709,18394,496,3502,89381,-4075,2668,990274,1641,557,2950,20425,55661,XRF2,1,2022-09-12,10:53:24,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,950.0,2.45,2.3049999999999997,44837322,SHLF11585351,10,0.15,6,12,10,12,No-Filter,291210,-66,707,18078,621,3630,87936,-3897,2215,965498,1539,586,2598,18702,54581,XRF2,1,2022-09-12,10:53:47,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,1000.0,2.5,2.355,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,326008,-62,825,19617,637,3191,79544,-4284,2943,1135014,1741,503,2579,19308,56040,XRF2,1,2022-09-12,10:54:08,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,1050.0,2.55,2.4050000000000002,44837322,SHLF11585351,10,0.15,6,13,10,12,No-Filter,296948,-37,707,18224,377,3291,86168,-4292,1977,997970,1246,564,1585,14462,55762,XRF2,1,2022-09-12,10:54:32,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,1100.0,2.6,2.455,44837322,SHLF11585351,10,0.15,6,12,10,12,No-Filter,285061,-37,673,18790,529,3658,88195,-3524,2428,937977,1401,499,2169,15152,54361,XRF2,1,2022-09-12,10:54:55,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,1150.0,2.65,2.505,44837322,SHLF11585351,10,0.15,6,11,10,12,No-Filter,248903,20,635,17852,225,3940,101344,-4430,2880,739305,1680,609,2470,16167,55179,XRF2,1,2022-09-12,10:55:17,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,1200.0,2.7,2.5549999999999997,44837322,SHLF11585351,10,0.15,6,12,10,12,No-Filter,289057,-56,687,19114,469,3604,94061,-4674,3361,937129,1683,617,2898,19442,55501,XRF2,1,2022-09-12,10:55:38,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,1250.0,2.75,2.605,44837322,SHLF11585351,10,0.15,6,11,10,12,No-Filter,226847,-58,525,17372,230,4104,105819,-3959,3119,626628,1453,466,2571,16874,55801,XRF2,1,2022-09-12,10:56:00,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,2,A,1300.0,2.8,2.6550000000000002,44837322,SHLF11585351,10,0.15,6,11,10,12,No-Filter,243678,-7,537,17760,143,3570,99351,-4031,2728,724968,1799,751,1982,15994,54188,XRF2,1,2022-09-12,10:56:20,YEON,2022-09-26 21:00:08,
390,U1559,D,1,H,3,A,50.0,3.0599999999999996,2.915,44837332,SHLF11585381,10,0.15,6,13,10,12,No-Filter,302755,-51,858,21759,609,3170,82256,-4350,4797,1013033,2035,537,2815,23761,54887,XRF2,1,2022-09-12,11:28:22,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,100.0,3.11,2.9650000000000003,44837332,SHLF11585381,10,0.15,6,13,10,12,No-Filter,329079,-39,900,20507,290,2978,79808,-4210,3459,1147415,1675,595,2653,18014,55169,XRF2,1,2022-09-12,11:28:45,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,150.0,3.1599999999999997,3.015,44837332,SHLF11585381,10,0.15,6,14,10,12,No-Filter,349317,-64,798,18621,518,3185,82734,-4583,1895,1245152,1369,586,1915,13363,56163,XRF2,1,2022-09-12,11:29:08,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,200.0,3.21,3.0650000000000004,44837332,SHLF11585381,10,0.15,6,14,10,12,No-Filter,357516,-54,687,18262,501,2849,78736,-5019,1570,1290278,1426,614,726,13217,56712,XRF2,1,2022-09-12,11:29:32,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,250.0,3.26,3.115,44837332,SHLF11585381,10,0.15,6,13,10,12,No-Filter,315546,-57,610,16855,534,3239,89679,-4422,1159,1083892,837,901,1343,10072,56274,XRF2,1,2022-09-12,11:29:56,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,300.0,3.3099999999999996,3.165,44837332,SHLF11585381,10,0.15,6,13,10,12,No-Filter,326471,-54,630,17386,577,3448,87830,-4268,1217,1138739,1117,741,526,10120,55867,XRF2,1,2022-09-12,11:30:20,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,350.0,3.36,3.2150000000000003,44837332,SHLF11585381,10,0.15,6,12,10,12,No-Filter,285344,-26,546,16201,271,3693,97430,-4589,1434,928243,1095,345,1087,8134,57011,XRF2,1,2022-09-12,11:30:43,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,400.0,3.4099999999999997,3.265,44837332,SHLF11585381,10,0.15,6,12,10,12,No-Filter,270255,-74,586,17211,279,3673,100034,-4640,1993,849559,1098,626,1034,11014,55282,XRF2,1,2022-09-12,11:31:05,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,450.0,3.46,3.3150000000000004,44837332,SHLF11585381,10,0.15,6,12,10,12,No-Filter,275151,-46,545,16608,281,3765,98286,-4106,1630,882922,1001,509,1047,8987,55478,XRF2,1,2022-09-12,11:31:27,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,500.0,3.51,3.365,44837332,SHLF11585381,10,0.15,6,12,10,12,No-Filter,294936,-74,636,17425,389,3214,87732,-3481,1579,996180,1151,785,1372,10293,53287,XRF2,1,2022-09-12,11:31:48,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,550.0,3.5599999999999996,3.415,44837332,SHLF11585381,10,0.15,6,13,10,12,No-Filter,319434,-57,637,17581,342,2735,77414,-2851,1179,1124047,1223,485,1488,11072,55689,XRF2,1,2022-09-12,11:32:10,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,600.0,3.61,3.4650000000000003,44837332,SHLF11585381,10,0.15,6,14,10,12,No-Filter,341363,-71,595,18117,476,2823,77984,-3514,1246,1218581,1303,559,978,11130,56335,XRF2,1,2022-09-12,11:32:34,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,650.0,3.6599999999999997,3.515,44837332,SHLF11585381,10,0.15,6,13,10,12,No-Filter,315727,-61,521,17238,637,3121,85581,-4156,1196,1093334,765,578,1538,10023,54766,XRF2,1,2022-09-12,11:32:57,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,700.0,3.71,3.5650000000000004,44837332,SHLF11585381,10,0.15,6,13,10,12,No-Filter,318974,-15,654,17078,542,3173,83758,-4290,1110,1110359,1085,643,1484,9380,56177,XRF2,1,2022-09-12,11:33:20,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,750.0,3.76,3.615,44837332,SHLF11585381,10,0.15,6,15,10,12,No-Filter,363189,15,594,17393,458,2553,73102,-3667,798,1329587,898,665,1500,9984,55677,XRF2,1,2022-09-12,11:33:44,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,800.0,3.8099999999999996,3.665,44837332,SHLF11585381,10,0.15,6,14,10,12,No-Filter,353750,-37,608,17225,429,3164,81666,-4696,1263,1275470,1114,349,1409,9448,56310,XRF2,1,2022-09-12,11:34:08,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,850.0,3.86,3.7150000000000003,44837332,SHLF11585381,10,0.15,6,11,10,12,No-Filter,246853,-61,464,16205,420,4016,101431,-4084,1328,740737,794,512,1085,7031,53899,XRF2,1,2022-09-12,11:34:32,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,900.0,3.9099999999999997,3.765,44837332,SHLF11585381,10,0.15,6,12,10,12,No-Filter,280457,-10,578,16261,362,3792,105984,-4994,1486,894505,1084,745,1136,8966,56689,XRF2,1,2022-09-12,11:34:53,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,950.0,3.96,3.8150000000000004,44837332,SHLF11585381,10,0.15,6,12,10,12,No-Filter,295280,-36,660,16585,461,3896,102576,-4983,1688,966197,900,498,787,8533,55742,XRF2,1,2022-09-12,11:35:15,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,3,A,1000.0,4.01,3.865,44837332,SHLF11585381,10,0.15,6,10,10,12,No-Filter,206236,-24,515,16014,288,2102,55915,3639,260,667622,803,396,864,5669,43762,XRF2,1,2022-09-12,11:35:38,YEON,2022-09-26 21:00:10,
390,U1559,D,1,H,4,A,50.0,4.069999999999999,3.925,44837342,SHLF11585411,10,0.15,6,11,10,12,No-Filter,258460,-60,418,16301,216,3724,105228,-4593,1389,776966,615,773,1145,7647,57661,XRF2,1,2022-09-12,12:01:30,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,100.0,4.119999999999999,3.975,44837342,SHLF11585411,10,0.15,6,13,10,12,No-Filter,320382,-51,514,16770,433,3034,90501,-3798,851,1090763,1099,1038,1295,8173,57914,XRF2,1,2022-09-12,12:01:52,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,150.0,4.17,4.025,44837342,SHLF11585411,10,0.15,6,12,10,12,No-Filter,291017,-37,573,16202,459,3799,100690,-4413,1219,943979,777,1162,1452,8279,57015,XRF2,1,2022-09-12,12:02:15,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,200.0,4.22,4.075,44837342,SHLF11585411,10,0.15,6,11,10,12,No-Filter,229266,-30,410,16044,287,3934,112147,-4311,1166,620250,720,504,1064,6652,57044,XRF2,1,2022-09-12,12:02:37,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,250.0,4.27,4.125,44837342,SHLF11585411,10,0.15,6,12,10,12,No-Filter,277722,-35,483,16092,437,4221,109880,-4975,1291,857647,881,987,1174,8852,57151,XRF2,1,2022-09-12,12:02:58,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,300.0,4.319999999999999,4.175,44837342,SHLF11585411,10,0.15,6,13,10,12,No-Filter,327316,-45,654,17272,602,3269,86584,-3935,1221,1131181,856,575,1449,10449,55447,XRF2,1,2022-09-12,12:03:19,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,350.0,4.369999999999999,4.225,44837342,SHLF11585411,10,0.15,6,12,10,12,No-Filter,283601,-41,475,16377,446,3951,101328,-4347,1440,907078,860,614,1288,9654,55779,XRF2,1,2022-09-12,12:03:43,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,400.0,4.42,4.275,44837342,SHLF11585411,10,0.15,6,12,10,12,No-Filter,281176,-43,463,16666,262,3737,100121,-4333,1535,897358,1123,818,1222,9951,55854,XRF2,1,2022-09-12,12:04:05,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,450.0,4.47,4.325,44837342,SHLF11585411,10,0.15,6,12,10,12,No-Filter,274835,-74,542,16358,421,3567,98553,-4473,1291,863847,1205,633,1182,9531,58309,XRF2,1,2022-09-12,12:04:27,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,500.0,4.52,4.375,44837342,SHLF11585411,10,0.15,6,12,10,12,No-Filter,279439,-48,482,17056,396,3660,98618,-4702,1804,883714,1172,637,1384,9067,58589,XRF2,1,2022-09-12,12:04:49,YEON,2022-09-26 21:00:14,
390,U1559,D,1,H,4,A,550.0,4.569999999999999,4.425,44837342,SHLF11585411,10,0.15,6,12,10,12,No-Filter,294279,-36,641,17171,294,3444,98679,-4494,1919,954388,1350,690,1576,11628,57663,XRF2,1,2022-09-12,12:05:11,YEON,2022-09-26 21:00:14,
390C,U1559,A,2,H,1,A,550.0,4.05,4.513,44837392,SHLF10886961,10,0.15,6,14,10,12,No-Filter,343711,-52,860,20216,713,2720,74559,-4190,2938,1233640,1716,440,1306,14763,54713,XRF2,1,2022-09-12,12:36:09,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,600.0,4.1,4.563,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,373830,-10,808,20446,666,2681,67019,-4105,2461,1379698,1705,838,1371,15792,54082,XRF2,1,2022-09-12,12:36:33,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,650.0,4.15,4.613,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,378444,-49,845,20151,456,2564,63887,-3866,2081,1407751,1619,617,2150,14351,53958,XRF2,1,2022-09-12,12:36:57,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,700.0,4.2,4.663,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,374734,-48,889,19871,527,2344,63276,-4185,1904,1397011,1459,711,2145,13432,53948,XRF2,1,2022-09-12,12:37:22,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,750.0,4.25,4.713,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,373569,-76,656,18551,512,2615,66961,-3775,1239,1389185,1143,510,849,12636,55193,XRF2,1,2022-09-12,12:37:47,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,800.0,4.3,4.763,44837392,SHLF10886961,10,0.15,6,14,10,12,No-Filter,344047,-33,532,17550,426,2740,76929,-3460,991,1246842,864,475,1403,9025,54111,XRF2,1,2022-09-12,12:38:12,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,850.0,4.35,4.813,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,363456,-47,670,17943,506,2669,64575,-2986,854,1359839,1085,500,712,6171,53519,XRF2,1,2022-09-12,12:38:36,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,900.0,4.4,4.863,44837392,SHLF10886961,10,0.15,6,14,10,12,No-Filter,332921,-44,611,16713,607,2770,73806,-3452,904,1204374,801,734,918,9263,53125,XRF2,1,2022-09-12,12:39:00,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,950.0,4.45,4.913,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,362621,-20,687,17022,524,2703,73092,-3790,808,1339926,749,453,1163,9142,54492,XRF2,1,2022-09-12,12:39:24,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,1000.0,4.5,4.963,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,377993,-61,658,16746,645,2476,65413,-3653,537,1422879,862,574,1630,7717,55724,XRF2,1,2022-09-12,12:39:48,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,1050.0,4.55,5.013,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,379827,-10,628,16837,579,2313,63698,-2862,585,1438622,1025,490,1367,8044,53709,XRF2,1,2022-09-12,12:40:13,YEON,2022-09-26 21:00:29,
390C,U1559,A,2,H,1,A,1100.0,4.6,5.063000000000001,44837392,SHLF10886961,10,0.15,6,15,10,12,No-Filter,370958,-68,612,16742,620,2484,61210,-3226,332,1401952,722,585,1047,7748,54314,XRF2,1,2022-09-12,12:40:37,YEON,2022-09-26 21:00:29,
