Expedition,Site,Hole,Core,Type,Section,A/W,Offset (mm),CSF-A (m),CSF-A (m),Test No.,TextID,Voltage (kV),Tube Current (mA),Live Time (s),Real Time (s),Down-Core Slit (mm),Cross-Core Slit (mm),Filter,Total Counts Per Second,K -Ka Area,Ca-Ka Area,Ti-Ka Area,Mn-Ka Area,Fe-Ka Area,Co-Ka Area,Ni-Ka Area,Cu-Ka Area,Zn-Ka Area,Ga-Ka Area,As-Ka Area,Br-Ka Area,Rb-Ka Area,Sr-Ka Area,Y -Ka Area,Zr-Ka Area,Nb-Ka Area,Mo-Ka Area,Rh-Ka-Coh Area,Rh-Ka-Inc Area,Instrument,Scan Number,Date of Measure,Time of Measure,Uploaded By,Date Uploaded,Comment
395E,U1561,A,1,H,3,A,200.0,3.21,3.21,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,187952,2196,890,1841,3125,114913,1639,4476,767,1399,238,420,2904,5837,7217,2274,8985,515,673,33570,78825,XRF2,1,2022-08-23,11:17:01,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,250.0,3.26,3.26,44834372,SHLF10902451,30,1.25,6,12,10,12,Pd-Thick,204594,2551,927,2165,4803,131879,1852,4601,823,1497,237,546,2932,6729,8345,2631,10995,849,351,36364,83868,XRF2,1,2022-08-23,11:17:22,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,300.0,3.3099999999999996,3.3099999999999996,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,199349,2411,981,2249,4924,129726,1932,4596,852,1886,285,598,2830,6604,8291,2464,10570,647,752,34670,79741,XRF2,1,2022-08-23,11:17:43,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,350.0,3.36,3.36,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,196826,2475,1056,2167,5507,130571,1876,4622,661,1394,239,480,2737,6616,8444,2771,10665,795,762,35289,79212,XRF2,1,2022-08-23,11:18:04,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,400.0,3.4099999999999997,3.4099999999999997,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190078,2309,938,2010,4959,127171,1763,4607,828,1419,229,517,2669,6566,8045,2554,9858,681,445,34163,75669,XRF2,1,2022-08-23,11:18:25,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,450.0,3.46,3.46,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,186540,2484,1036,2189,5330,125651,1636,4434,736,1816,252,610,2524,6608,7902,2731,9736,600,683,33200,73811,XRF2,1,2022-08-23,11:18:46,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,500.0,3.51,3.51,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,184588,2163,972,2000,5260,125129,1676,4423,784,1412,237,547,2586,6471,7935,2755,10184,644,346,32992,74240,XRF2,1,2022-08-23,11:19:06,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,550.0,3.5599999999999996,3.5599999999999996,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190058,2493,983,2203,4864,129470,1813,4363,774,1386,194,530,2444,6651,8412,2703,10563,571,149,34074,75823,XRF2,1,2022-08-23,11:19:29,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,600.0,3.61,3.61,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,194644,2455,1023,2172,5374,128923,1718,4588,906,1500,255,523,2686,6490,8468,2840,10912,688,596,33729,77315,XRF2,1,2022-08-23,11:19:50,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,650.0,3.6599999999999997,3.6599999999999997,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,197625,2287,1071,2088,4947,124139,1717,4596,849,1409,227,526,2949,6372,8281,2870,10252,510,321,34873,80474,XRF2,1,2022-08-23,11:20:11,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,700.0,3.71,3.71,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,195979,2338,1023,2029,4959,121627,1727,4327,783,1443,223,507,2937,6282,8344,2937,10152,720,485,34539,80150,XRF2,1,2022-08-23,11:20:31,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,750.0,3.76,3.76,44834372,SHLF10902451,30,1.25,6,12,10,12,Pd-Thick,202014,2270,985,1945,4873,117828,1762,4624,851,1521,167,488,3123,6037,7866,2649,10008,722,247,35168,84659,XRF2,1,2022-08-23,11:20:54,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,800.0,3.8099999999999996,3.8099999999999996,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,189277,2208,992,1885,3481,113179,1620,4327,761,1385,187,454,2958,5583,7607,2263,9359,738,-80,32860,79368,XRF2,1,2022-08-23,11:21:15,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,850.0,3.86,3.86,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190210,2074,982,1850,3998,110697,1536,4572,732,1426,202,448,2959,5703,7629,2290,9305,723,427,32694,80992,XRF2,1,2022-08-23,11:21:36,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,900.0,3.9099999999999997,3.9099999999999997,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,190125,2291,854,1941,5404,117254,1540,4574,904,1524,249,414,2873,5932,7507,2221,9229,425,346,33584,78276,XRF2,1,2022-08-23,11:21:58,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,950.0,3.96,3.96,44834372,SHLF10902451,30,1.25,6,10,10,12,Pd-Thick,169747,1964,860,1903,3461,107793,1447,4182,744,2103,183,872,2310,5080,6604,2175,8433,381,597,30003,70860,XRF2,1,2022-08-23,11:22:19,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1000.0,4.01,4.01,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,185643,2264,1041,2040,4031,122214,1669,4534,775,1371,224,525,2554,5866,7664,2518,9261,631,226,33015,75345,XRF2,1,2022-08-23,11:22:40,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1050.0,4.06,4.06,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,186874,2579,1110,2253,4507,129949,1786,4289,699,1388,174,458,2609,6570,8115,2654,10187,544,308,32982,74588,XRF2,1,2022-08-23,11:23:01,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1100.0,4.109999999999999,4.109999999999999,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,191364,2617,1074,2277,4699,134460,1826,4503,752,1500,266,482,2551,6647,8560,2968,10361,953,433,34186,76252,XRF2,1,2022-08-23,11:23:22,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1150.0,4.16,4.16,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,188456,2672,1035,2154,5317,130405,1842,4375,750,1441,237,562,2610,6266,8264,2742,9945,863,182,33216,73848,XRF2,1,2022-08-23,11:23:42,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1200.0,4.21,4.21,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,184603,2415,962,2173,4174,126823,1742,4375,698,1378,182,480,2610,6309,7898,2522,10062,668,921,33301,73237,XRF2,1,2022-08-23,11:24:03,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1250.0,4.26,4.26,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,184323,2425,930,2097,4299,127730,1858,4225,765,1420,216,473,2527,6327,8061,2769,10049,1005,328,33008,73195,XRF2,1,2022-08-23,11:24:26,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1300.0,4.31,4.31,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,185964,2553,1189,2284,5390,130928,1739,4472,781,1436,221,504,2392,6539,8809,3539,10136,509,761,33218,74049,XRF2,1,2022-08-23,11:24:48,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1350.0,4.359999999999999,4.359999999999999,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,186229,2786,1175,2401,5331,136218,1875,4208,810,1457,230,538,2216,6648,8749,2933,10333,850,650,33411,72623,XRF2,1,2022-08-23,11:25:09,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1400.0,4.41,4.41,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,183384,2666,1121,2276,5654,133443,1799,4335,812,1422,229,562,2209,6476,8499,3242,10131,694,865,31632,70556,XRF2,1,2022-08-23,11:25:30,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,3,A,1440.0,4.449999999999999,4.449999999999999,44834372,SHLF10902451,30,1.25,6,11,10,12,Pd-Thick,186800,2902,1099,2336,5106,137826,1718,4342,722,1629,238,442,2316,6724,8593,3275,10742,503,336,32988,73763,XRF2,1,2022-08-23,11:25:51,YEON,2022-09-02 18:16:20,
395E,U1561,A,1,H,4,A,50.0,4.56,4.56,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,188037,2897,1239,2441,5072,139244,2053,4379,826,1516,302,546,2213,6773,8340,3100,10642,992,256,34127,73468,XRF2,1,2022-08-23,11:54:25,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,100.0,4.609999999999999,4.609999999999999,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,188373,2969,1075,2254,5221,137460,1877,4337,819,1491,291,573,2179,6862,8450,2773,10500,868,702,34189,73245,XRF2,1,2022-08-23,11:54:46,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,150.0,4.66,4.66,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,186107,2936,961,2272,4725,135483,1855,4336,723,1453,257,499,2377,6746,7687,2457,10343,715,353,33465,72984,XRF2,1,2022-08-23,11:55:08,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,200.0,4.71,4.71,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,187264,2793,977,2398,5539,133231,1942,4348,821,1440,190,559,2409,6747,7860,2401,9834,569,384,33395,74300,XRF2,1,2022-08-23,11:55:29,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,250.0,4.76,4.76,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,190718,3074,1075,2577,4548,142301,1851,4325,748,1563,260,561,2239,7356,8442,2681,10873,705,619,33896,72204,XRF2,1,2022-08-23,11:55:50,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,300.0,4.81,4.81,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,195288,3178,986,2338,3922,141760,1927,4520,761,1419,329,508,2432,7330,8211,2547,11042,745,1031,34651,76748,XRF2,1,2022-08-23,11:56:11,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,350.0,4.859999999999999,4.859999999999999,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,185500,2819,980,2334,4831,128257,1770,4401,805,1675,196,556,2316,6466,7857,2632,10464,813,221,32748,74082,XRF2,1,2022-08-23,11:56:32,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,400.0,4.91,4.91,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,178001,2598,968,2234,4352,123508,1799,4090,704,1361,208,470,2292,6314,7125,2227,9625,798,539,31504,72327,XRF2,1,2022-08-23,11:56:53,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,450.0,4.96,4.96,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,182837,2810,976,2310,4239,131791,1719,4535,736,1560,216,489,2210,6852,7787,2487,10087,549,295,32625,72433,XRF2,1,2022-08-23,11:57:13,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,500.0,5.01,5.01,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,186050,2926,1086,2386,4355,135403,1862,4442,785,1590,274,591,2152,6967,7828,2484,10595,941,317,33118,71095,XRF2,1,2022-08-23,11:57:34,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,550.0,5.06,5.06,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,189477,3033,1075,2376,5101,138840,1934,4287,717,3628,303,3097,1829,7049,7968,2899,10902,783,655,33767,72630,XRF2,1,2022-08-23,11:57:55,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,600.0,5.109999999999999,5.109999999999999,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,186601,3098,1087,2345,5200,142180,2115,4262,830,1803,214,516,2067,7294,7934,2707,10914,553,570,34261,71109,XRF2,1,2022-08-23,11:58:16,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,650.0,5.16,5.16,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,188125,3261,1073,2415,4977,142203,2037,4395,740,1452,265,589,2029,7482,8127,2508,11245,914,673,33977,71735,XRF2,1,2022-08-23,11:58:37,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,700.0,5.21,5.21,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,186175,3238,1094,2522,5761,146559,2019,4307,817,1478,228,586,1885,7803,8697,2925,11083,848,770,34001,69201,XRF2,1,2022-08-23,11:58:58,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,750.0,5.26,5.26,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,189433,3257,1206,2561,5389,145687,1930,4415,884,1457,260,566,2047,7471,8681,3032,11346,670,420,34180,71240,XRF2,1,2022-08-23,11:59:19,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,800.0,5.31,5.31,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,187569,3078,1090,2482,5233,143748,1824,4440,733,1441,318,573,2118,7270,8667,2611,11263,1229,666,33799,70486,XRF2,1,2022-08-23,11:59:39,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,850.0,5.359999999999999,5.359999999999999,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,186903,3233,1067,2494,5550,142440,1961,4325,790,1518,258,553,2094,7216,8415,2666,10793,1224,808,33567,69470,XRF2,1,2022-08-23,12:00:00,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,900.0,5.41,5.41,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,191255,3271,1053,2482,5876,144856,2022,4430,756,1422,269,542,2141,7545,8533,2692,11264,658,529,34414,73419,XRF2,1,2022-08-23,12:00:21,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,950.0,5.46,5.46,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,190206,3292,1256,2505,5690,145259,1826,4443,751,1543,307,520,2038,7478,8600,2911,10795,879,751,34085,73089,XRF2,1,2022-08-23,12:00:44,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1000.0,5.51,5.51,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,192729,3091,981,2476,5623,140736,1993,4464,823,1573,273,547,2212,6964,8365,2838,11081,801,448,34158,75476,XRF2,1,2022-08-23,12:01:04,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1050.0,5.56,5.56,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,191038,2920,1007,2450,5232,138747,1762,4495,839,1520,220,538,2220,7073,8421,2966,11051,776,492,34188,75101,XRF2,1,2022-08-23,12:01:25,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1100.0,5.609999999999999,5.609999999999999,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,191133,3042,1107,2260,5209,135035,1926,4347,757,1481,235,502,2363,6994,8376,2913,11031,1209,747,33872,74309,XRF2,1,2022-08-23,12:01:46,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1150.0,5.66,5.66,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,189185,3144,1069,2383,5191,136539,1823,4358,834,1497,269,530,2134,6964,8320,2650,10720,607,711,33671,75113,XRF2,1,2022-08-23,12:02:07,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1200.0,5.71,5.71,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,187597,3020,1143,2218,5008,135616,1872,4367,778,1409,253,528,2242,7060,8037,2614,10726,786,553,33727,73384,XRF2,1,2022-08-23,12:02:28,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1250.0,5.76,5.76,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,184111,2992,1031,2322,4946,136221,1748,4420,689,1472,263,509,2180,7017,8510,2728,10667,925,418,32832,70202,XRF2,1,2022-08-23,12:02:49,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1300.0,5.81,5.81,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,186549,3006,1187,2443,5219,139510,1850,4304,797,1525,323,575,2135,7051,8449,3091,10958,626,963,34168,72019,XRF2,1,2022-08-23,12:03:10,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1356.0,5.866,5.866,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,187322,3098,1193,2365,5567,137803,1824,4391,746,1482,213,554,2172,7022,8420,2921,11154,957,779,33338,71920,XRF2,1,2022-08-23,12:03:31,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1400.0,5.91,5.91,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,183347,2799,1067,2314,5126,134917,1853,4349,719,1440,236,519,2021,6841,8277,2775,10681,775,182,32959,71621,XRF2,1,2022-08-23,12:03:51,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,4,A,1439.0,5.949,5.949,44834382,SHLF10902481,30,1.25,6,11,10,12,Pd-Thick,197065,3223,1100,2367,5499,142181,2009,4377,888,1543,247,485,2354,7353,8734,3114,11603,604,384,34417,76218,XRF2,1,2022-08-23,12:04:12,YEON,2022-09-02 18:16:24,
395E,U1561,A,1,H,5,A,50.0,6.01,6.01,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,193110,2876,1076,2341,5161,134902,1856,4410,815,1594,253,559,2454,6961,8586,2924,10495,914,487,34715,76604,XRF2,1,2022-08-23,12:26:57,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,100.0,6.06,6.06,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,190684,2896,1008,2269,5007,132234,2100,4188,695,1498,222,526,2497,6654,7985,2762,10838,882,305,34069,76154,XRF2,1,2022-08-23,12:27:19,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,150.0,6.11,6.11,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,189439,3051,1040,2352,5189,133524,1850,4424,674,1470,249,511,2253,6814,8201,2724,10404,636,541,33769,73880,XRF2,1,2022-08-23,12:27:40,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,200.0,6.16,6.16,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,188896,2903,1052,2323,5514,133721,1632,4531,776,1591,276,572,2254,6814,8222,2892,10857,877,584,34522,75240,XRF2,1,2022-08-23,12:28:01,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,250.0,6.21,6.21,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,193432,2802,1033,2298,4949,131792,1878,4440,760,1563,272,545,2444,6926,8143,2693,11278,768,138,34428,76759,XRF2,1,2022-08-23,12:28:24,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,300.0,6.26,6.26,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,194615,2761,1040,2244,5306,131824,1709,4625,771,1560,248,597,2432,6880,8524,2577,10745,986,541,34283,76572,XRF2,1,2022-08-23,12:28:45,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,350.0,6.31,6.31,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,195351,2611,956,2264,4366,126623,1910,4406,852,1614,293,455,2720,6347,8078,2668,10504,758,483,35022,80126,XRF2,1,2022-08-23,12:29:05,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,400.0,6.36,6.36,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,194277,2594,989,2212,4145,129836,1781,4510,809,1543,259,513,2615,6513,8352,2543,10641,1004,211,34503,78514,XRF2,1,2022-08-23,12:29:26,YEON,2022-09-02 18:16:27,
395E,U1561,A,1,H,5,A,450.0,6.41,6.41,44834392,SHLF10902511,30,1.25,6,11,10,12,Pd-Thick,201137,2809,1053,2329,4552,135691,1928,4596,774,1676,174,633,2760,6935,8388,2573,11029,810,448,36360,80846,XRF2,1,2022-08-23,12:29:47,YEON,2022-09-02 18:16:27,
395E,U1561,A,2,H,1,A,900.0,7.6000000000000005,7.6000000000000005,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,199943,2423,900,2292,4335,130034,1894,4674,836,1566,208,569,2582,6512,9558,2370,11033,1002,617,35100,80307,XRF2,1,2022-08-23,12:46:44,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,950.0,7.65,7.65,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,191568,2404,1061,2223,4540,127662,1717,4356,614,1440,240,558,2503,6520,8347,2335,10429,426,273,33715,77633,XRF2,1,2022-08-23,12:47:05,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1000.0,7.7,7.7,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,191379,2275,922,2118,4276,125927,1549,4568,812,1398,210,523,2628,6369,8272,2829,10523,955,299,33956,77617,XRF2,1,2022-08-23,12:47:25,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1050.0,7.75,7.75,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,188511,2290,980,2241,3822,125651,1882,4404,826,1538,271,533,2495,6267,8116,2765,10628,426,632,32855,76758,XRF2,1,2022-08-23,12:47:48,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1100.0,7.800000000000001,7.800000000000001,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,185065,2540,990,2181,4818,129264,1918,4443,797,1429,259,612,2335,6365,8537,3053,10604,671,628,32452,72471,XRF2,1,2022-08-23,12:48:11,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1150.0,7.85,7.85,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,180377,2484,934,2211,4573,124718,1688,4451,801,1427,274,487,2354,6385,8003,2571,10155,775,326,32419,72057,XRF2,1,2022-08-23,12:48:34,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1200.0,7.9,7.9,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,173310,2548,884,2255,4471,124715,1724,4394,685,1401,168,530,1979,6153,7834,2692,10187,481,184,31933,68042,XRF2,1,2022-08-23,12:48:55,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1250.0,7.95,7.95,44834402,SHLF10902701,30,1.25,6,10,10,12,Pd-Thick,166672,2528,875,2222,4646,124483,1472,4181,670,1244,250,514,1929,6380,7710,2379,9574,442,367,31295,65576,XRF2,1,2022-08-23,12:49:16,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1300.0,8.0,8.0,44834402,SHLF10902701,30,1.25,6,10,10,12,Pd-Thick,160752,2314,859,2073,4799,115102,1542,4070,630,1254,207,479,1988,5826,7151,2176,8834,578,99,30198,62788,XRF2,1,2022-08-23,12:49:37,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1350.0,8.05,8.05,44834402,SHLF10902701,30,1.25,6,10,10,12,Pd-Thick,160957,2142,802,1836,4340,113207,1489,4254,715,1323,228,471,1955,5782,7174,2258,8386,569,496,29713,63882,XRF2,1,2022-08-23,12:49:58,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1400.0,8.1,8.1,44834402,SHLF10902701,30,1.25,6,10,10,12,Pd-Thick,162632,2132,885,1921,4421,110643,1395,4304,742,1374,234,418,2164,5494,6999,2350,8868,680,276,29647,66148,XRF2,1,2022-08-23,12:50:19,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1450.0,8.15,8.15,44834402,SHLF10902701,30,1.25,6,10,10,12,Pd-Thick,170630,2244,1029,1993,4879,115877,1556,4545,750,1396,162,459,2161,5648,7507,2599,9346,477,54,30992,68710,XRF2,1,2022-08-23,12:50:40,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,1,A,1490.0,8.19,8.19,44834402,SHLF10902701,30,1.25,6,11,10,12,Pd-Thick,178857,2369,1103,2239,3838,116846,1478,4492,773,1443,223,431,2588,5740,8131,2743,9456,624,461,31906,73463,XRF2,1,2022-08-23,12:51:01,YEON,2022-09-02 18:16:29,
395E,U1561,A,2,H,2,A,50.0,8.25,8.25,44834412,SHLF10902731,30,1.25,6,11,10,12,Pd-Thick,193707,2345,1048,2098,5474,122502,1663,4663,699,1407,203,546,2588,5960,8728,3123,10493,693,671,34466,79056,XRF2,1,2022-08-23,13:13:55,YEON,2022-09-02 18:16:33,
395E,U1561,A,2,H,2,A,100.0,8.299999999999999,8.299999999999999,44834412,SHLF10902731,30,1.25,6,11,10,12,Pd-Thick,187420,2290,903,2086,4983,119213,1585,4584,778,1444,239,481,2460,5896,8026,2710,9879,913,540,33555,76604,XRF2,1,2022-08-23,13:14:16,YEON,2022-09-02 18:16:33,
395E,U1561,A,2,H,2,A,150.0,8.35,8.35,44834412,SHLF10902731,30,1.25,6,11,10,12,Pd-Thick,191632,2350,992,2082,4873,118728,1601,4655,718,1430,186,508,2715,5786,8068,2548,10075,527,472,33991,78676,XRF2,1,2022-08-23,13:14:37,YEON,2022-09-02 18:16:33,
395E,U1561,A,2,H,2,A,200.0,8.399999999999999,8.399999999999999,44834412,SHLF10902731,30,1.25,6,11,10,12,Pd-Thick,190902,2329,887,1924,4619,119218,1605,4521,733,1497,239,427,2800,5894,8186,2572,10281,729,291,34125,80314,XRF2,1,2022-08-23,13:14:58,YEON,2022-09-02 18:16:33,
395E,U1561,A,2,H,2,A,250.0,8.45,8.45,44834412,SHLF10902731,30,1.25,6,11,10,12,Pd-Thick,190056,2361,894,2053,4955,119206,1542,4490,689,1458,218,439,2630,5911,8060,2409,10293,603,92,34097,79369,XRF2,1,2022-08-23,13:15:19,YEON,2022-09-02 18:16:33,
395E,U1561,A,2,H,2,A,300.0,8.5,8.5,44834412,SHLF10902731,30,1.25,6,11,10,12,Pd-Thick,190822,2396,883,2225,4960,123126,1707,4472,782,1540,262,523,2611,6240,8243,2539,10377,478,269,33642,77004,XRF2,1,2022-08-23,13:15:40,YEON,2022-09-02 18:16:33,
395E,U1561,A,2,H,2,A,350.0,8.549999999999999,8.549999999999999,44834412,SHLF10902731,30,1.25,6,11,10,12,Pd-Thick,191228,2450,1026,2214,4544,124613,1826,4400,799,1430,237,524,2517,6250,8142,2492,10226,305,242,33900,79546,XRF2,1,2022-08-23,13:16:01,YEON,2022-09-02 18:16:33,
